id,host_id,host_listings_count,neighbourhood_cleansed,latitude,longitude,property_type,room_type,accommodates,bedrooms,beds,price,minimum_nights,availability_30,number_of_reviews,review_scores_rating
29124414,19864547,2,Crown Heights,40.66509,-73.95076,Entire rental unit,Entire home/apt,4,2,2,$125.00 ,21,0,17,4.75
28965609,96479013,2,Bedford-Stuyvesant,40.69381,-73.94767,Entire rental unit,Entire home/apt,3,2,2,$205.00 ,8,8,35,4.94
28972637,2802223,3,Harlem,40.82938,-73.93846,Entire rental unit,Entire home/apt,4,2,2,$111.00 ,30,0,4,4.5
29153170,219678120,1,Crown Heights,40.67495,-73.92084,Entire rental unit,Entire home/apt,4,2,2,$180.00 ,365,0,35,4.74
29167257,203123161,2,Concourse,40.82124,-73.92913,Entire loft,Entire home/apt,4,2,2,$175.00 ,3,6,122,4.84
29016146,218680572,1,Harlem,40.80797,-73.94865,Entire rental unit,Entire home/apt,5,2,2,$149.00 ,30,0,25,5
29189777,219924114,2,Bushwick,40.69506,-73.92691,Entire rental unit,Entire home/apt,4,2,2,$150.00 ,3,4,189,4.98
29202087,8917825,1,Greenpoint,40.71905,-73.95272,Entire rental unit,Entire home/apt,4,2,2,$205.00 ,30,0,11,5
29056566,169467786,1,Williamsburg,40.7106,-73.96082,Entire loft,Entire home/apt,5,2,2,$221.00 ,1,0,35,4.83
29083751,26860800,1,SoHo,40.72739,-74.00166,Private room in rental unit,Private room,2,2,2,$271.00 ,30,0,33,4.28
29237220,8354383,1,West Village,40.73927,-74.00936,Entire rental unit,Entire home/apt,4,2,2,"$1,230.00 ",30,0,27,5
29457851,53223410,1,Williamsburg,40.71162,-73.95575,Entire rental unit,Entire home/apt,6,2,2,$175.00 ,30,0,3,5
29256229,2715012,7,Crown Heights,40.67539,-73.94162,Entire townhouse,Entire home/apt,5,2,2,$178.00 ,2,12,56,4.79
29487347,222081034,1,Bedford-Stuyvesant,40.68601,-73.93455,Entire home,Entire home/apt,3,2,2,$250.00 ,3,3,79,4.89
29570883,125627920,1,Belmont,40.84938,-73.88971,Entire rental unit,Entire home/apt,5,2,2,$188.00 ,1,22,28,4.79
29491529,10323901,1,Chinatown,40.71399,-73.99157,Entire rental unit,Entire home/apt,4,2,2,$100.00 ,30,0,1,5
29609668,22307859,2,Canarsie,40.63841,-73.89383,Entire rental unit,Entire home/apt,6,2,2,$150.00 ,3,21,14,4.64
29610742,948095,1,East Village,40.72301,-73.97972,Entire loft,Entire home/apt,3,2,2,$235.00 ,14,0,8,5
29634211,9246334,2,Crown Heights,40.6753,-73.93859,Entire rental unit,Entire home/apt,4,2,2,$399.00 ,3,22,45,4.73
29781403,22464812,2,Kensington,40.64196,-73.98302,Entire townhouse,Entire home/apt,6,2,2,$133.00 ,2,2,87,4.43
29653847,223198021,1,Prospect-Lefferts Gardens,40.66185,-73.94483,Private room in condo,Private room,6,2,2,$269.00 ,2,28,35,4.97
29800110,49701856,1,Bushwick,40.69165,-73.90567,Entire townhouse,Entire home/apt,4,2,2,$168.00 ,3,0,77,4.97
29662414,162938514,1,Williamsburg,40.71016,-73.95016,Entire rental unit,Entire home/apt,4,2,2,$257.00 ,2,2,203,4.84
29942196,224715959,1,Jackson Heights,40.75185,-73.89053,Entire rental unit,Entire home/apt,4,2,2,$100.00 ,5,3,53,4.77
29825825,224350246,1,Bedford-Stuyvesant,40.68547,-73.91733,Entire rental unit,Entire home/apt,4,2,2,$150.00 ,30,0,6,4.8
29828333,216634331,1,Harlem,40.82263,-73.94332,Entire condo,Entire home/apt,6,2,2,$230.00 ,30,0,15,4.67
29829066,179668570,1,Williamsburg,40.71146,-73.94006,Entire rental unit,Entire home/apt,6,2,2,$98.00 ,30,0,69,4.78
29686857,223422291,1,Ridgewood,40.70417,-73.9036,Entire rental unit,Entire home/apt,4,2,2,$153.00 ,7,8,40,4.95
29687049,617537,4,Bushwick,40.69447,-73.91389,Entire rental unit,Entire home/apt,6,2,2,$235.00 ,3,11,86,4.87
29958350,12784820,1,West Village,40.73676,-74.00058,Entire rental unit,Entire home/apt,4,2,2,$330.00 ,30,0,6,4.83
29701921,223511106,1,Financial District,40.7034,-74.00935,Entire rental unit,Entire home/apt,5,2,2,$129.00 ,30,0,11,4.36
29964495,4980714,3,Sunset Park,40.6602,-73.99297,Entire rental unit,Entire home/apt,4,2,2,$100.00 ,30,0,1,5
29858126,149849302,1,Harlem,40.81195,-73.95138,Entire rental unit,Entire home/apt,6,2,2,$230.00 ,30,0,3,3.67
29897019,224808776,1,Greenwich Village,40.72956,-74.0004,Entire rental unit,Entire home/apt,4,2,2,$360.00 ,4,3,106,4.92
29898471,224806557,1,Greenpoint,40.71922,-73.95386,Entire rental unit,Entire home/apt,6,2,2,$295.00 ,30,0,6,5
29906282,67480949,2,East Elmhurst,40.75667,-73.88904,Entire guesthouse,Entire home/apt,5,2,2,$142.00 ,2,0,138,4.67
30008427,18103903,1,SoHo,40.72268,-74.00472,Entire loft,Entire home/apt,5,2,2,$456.00 ,5,4,8,5
30082832,226048286,1,Clinton Hill,40.69509,-73.96605,Entire rental unit,Entire home/apt,5,2,2,$536.00 ,3,8,148,4.89
30020524,36560763,1,Lower East Side,40.71758,-73.98637,Entire rental unit,Entire home/apt,6,2,2,$300.00 ,6,0,1,4
30231630,227037845,3,Maspeth,40.73852,-73.90696,Entire rental unit,Entire home/apt,4,2,2,$118.00 ,2,4,185,4.76
30231880,2647893,1,Greenwich Village,40.72956,-74.00088,Entire rental unit,Entire home/apt,2,2,2,$325.00 ,8,0,19,4.89
30232758,6004082,1,Bushwick,40.69507,-73.92231,Entire rental unit,Entire home/apt,6,2,2,$147.00 ,30,0,25,4.96
30373480,1723475,1,Lower East Side,40.71869,-73.98434,Entire rental unit,Entire home/apt,4,2,2,$228.00 ,4,0,48,4.81
30123494,11869986,1,Crown Heights,40.67287,-73.9596,Entire rental unit,Entire home/apt,4,2,2,$210.00 ,30,0,1,5
